category;name;description;unit;unit_price;supplier;supplier_location;valid_from;valid_to
Pflaster / Außenanlagen;Fallschutzbelag 40 mm;Elastischer Fallschutzbelag 40 mm aus Gummigranulat, für Spielbereiche.;m²;55.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Gabionenkorb 100x50x50;Gabionenkorb 100x50x50 cm, verzinkt, ohne Füllmaterial.;Stk;78.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Pflaster / Außenanlagen;Gabionenstein 80/150;Natursteinfüllung 80/150 mm für Gabionen, frostbeständig.;t;145.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Metallbau;HEA 160 S235;Stahlprofil HEA 160 aus S235JR, walzblank, für tragende Stahlkonstruktionen.;kg;1.85;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Metallbau;HEA 200 S235;Stahlprofil HEA 200 aus S235JR, walzblank, für tragende Stahlkonstruktionen.;kg;1.82;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Metallbau;IPE 160 S235;Stahlprofil IPE 160 aus S235JR, für Träger und Rahmen.;kg;1.86;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Metallbau;IPE 240 S355;Stahlprofil IPE 240 aus S355JR, für höher belastete Tragkonstruktionen.;kg;2.05;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Metallbau;Rechteckrohr 80x40x4;Stahl-Rechteckrohr 80x40x4 mm, S235, roh, für Geländer und Rahmen.;m;18.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Metallbau;Quadratrohr 60x60x4;Stahl-Quadratrohr 60x60x4 mm, S235, roh, für Metallbaukonstruktionen.;m;20.50;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Metallbau;Edelstahlrohr 42,4x2;Edelstahl-Rundrohr 42,4x2 mm, Werkstoff 1.4301, geschliffen, für Geländer.;m;28.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Metallbau;Gitterrost verzinkt 30/30;Pressrost aus Stahl, feuerverzinkt, Masche 30/30 mm, für Laufstege.;m²;86.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Metallbau;Tränenblech 5 mm;Stahl-Tränenblech 5 mm, roh, rutschhemmend für Podeste und Abdeckungen.;m²;72.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Metallbau;Geländer verzinkt;Einfaches Stahlgeländer, feuerverzinkt, Höhe ca. 1,0 m, mit Handlauf und Füllstäben.;m;185.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Metallbau;Geländer Edelstahl;Edelstahlgeländer, Werkstoff 1.4301, geschliffen, mit Rundrohr-Handlauf.;m;295.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Metallbau;Stahltür T30 1,01x2,135;Feuerschutztür T30 aus Stahl, einflügelig, ca. 1,01 x 2,135 m, grundiert.;Stk;980.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Trockenbau;Gipskartonplatte 12,5 mm;Gipskarton-Bauplatte 12,5 mm, Standardausführung für Innenausbau.;m²;4.80;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Trockenbau;Gipskarton imprägniert 12,5 mm;Imprägnierte Gipskartonplatte 12,5 mm für Feuchträume.;m²;7.20;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Trockenbau;Gipskarton Feuerschutz 15 mm;Feuerschutzplatte Typ DF, 15 mm, für brandschutztechnische Konstruktionen.;m²;9.50;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Trockenbau;CW-Profil 75;Metallständerprofil CW 75, verzinkt, für Trockenbauwände.;m;2.80;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Trockenbau;UW-Profil 75;Metall-Rahmenprofil UW 75, verzinkt, für Boden- und Deckenanschlüsse.;m;2.50;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Trockenbau;CW-Profil 100;Metallständerprofil CW 100, verzinkt, für höhere oder stärker gedämmte Trockenbauwände.;m;3.40;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Trockenbau;Mineralwolle Trennwand 60 mm;Mineralwolle 60 mm für Schall- und Wärmedämmung in Trockenbauwänden.;m²;8.20;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Trockenbau;Mineralwolle Trennwand 100 mm;Mineralwolle 100 mm für erhöhte Schallschutzanforderungen in Trockenbauwänden.;m²;12.80;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Trockenbau;Akustikdecke Lochplatte;Gelochte Gipskarton-Akustikplatte für abgehängte Decken.;m²;22.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Trockenbau;Abhänger CD-Decke;Direktabhänger für CD-Unterkonstruktion bei abgehängten Decken.;Stk;0.65;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Trockenbau;Spachtelmasse Q2;Gips-Spachtelmasse für Fugen und Oberflächenqualität Q2.;kg;0.95;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Trockenbau;Spachtelmasse Q4;Feinspachtel für hochwertige Oberflächenqualität Q4.;kg;1.45;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Estrich / Boden;Zementestrich CT-C25-F4;Zementestrich CT-C25-F4, für Innenräume, als schwimmender oder Verbundestrich.;m²;18.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Estrich / Boden;Zementestrich CT-C35-F5;Hochfester Zementestrich CT-C35-F5 für höher beanspruchte Flächen.;m²;22.50;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Estrich / Boden;Calciumsulfatestrich CA-C25-F5;Fließestrich auf Calciumsulfatbasis, CA-C25-F5, für Innenräume.;m²;21.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Estrich / Boden;Industrieestrich hart;Zementgebundener Industrieestrich mit Hartstoffzusatz für hohe mechanische Belastung.;m²;36.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Estrich / Boden;Epoxidharzboden 2 mm;2K-Epoxidharz-Beschichtung ca. 2 mm, für Lager- und Technikräume.;m²;42.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Estrich / Boden;PU-Bodenbeschichtung;Elastische Polyurethan-Bodenbeschichtung, rissüberbrückend, für Innenbereiche.;m²;48.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Estrich / Boden;Feinsteinzeug 30x60;Feinsteinzeugfliese 30x60 cm, R10, für Innenböden.;m²;31.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Estrich / Boden;Feinsteinzeug R11 30x30;Feinsteinzeugfliese 30x30 cm, R11, für Nass- und Arbeitsbereiche.;m²;36.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Estrich / Boden;Vinylbelag 2,5 mm;Heterogener Vinylboden 2,5 mm, Nutzungsklasse 33, für stark frequentierte Innenräume.;m²;27.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Estrich / Boden;Kautschukbelag 3 mm;Kautschuk-Bodenbelag 3 mm, rutschhemmend und hoch belastbar.;m²;44.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Holz / Dach;KVH C24 60x120;Konstruktionsvollholz C24, Querschnitt 60x120 mm, technisch getrocknet.;m;7.80;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Holz / Dach;KVH C24 80x160;Konstruktionsvollholz C24, Querschnitt 80x160 mm, technisch getrocknet.;m;13.50;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Holz / Dach;BSH GL24h 120x240;Brettschichtholz GL24h, Querschnitt 120x240 mm, gehobelt.;m;31.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Holz / Dach;OSB/3 18 mm;OSB/3-Platte 18 mm, tragend für feuchtebeanspruchte Bereiche.;m²;11.50;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Holz / Dach;OSB/3 22 mm;OSB/3-Platte 22 mm, tragend für Dach, Wand und Boden.;m²;13.80;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Holz / Dach;Dachlatte 40x60;Nadelholz-Dachlatte 40x60 mm, technisch getrocknet und sortiert.;m;1.35;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Holz / Dach;Unterdeckbahn diffusionsoffen;Diffusionsoffene Unterdeck- und Unterspannbahn für geneigte Dächer.;m²;3.80;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Holz / Dach;Dampfbremse sd 2 m;Luftdichte Dampfbremse mit variablem bzw. mittlerem sd-Wert für Dachausbau.;m²;2.90;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Holz / Dach;Dachziegel rot;Ton-Dachziegel, rot engobiert, für geneigte Dächer.;Stk;2.10;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Holz / Dach;Dachziegel anthrazit;Ton-Dachziegel, anthrazit engobiert, für geneigte Dächer.;Stk;2.45;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Holz / Dach;Dachrinne Titanzink DN125;Halbrunde Dachrinne aus Titanzink, Nenngröße 125.;m;15.50;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Holz / Dach;Fallrohr Titanzink DN100;Regenfallrohr aus Titanzink DN100 mit Steckmuffe.;m;17.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Fenster / Türen;Kunststofffenster 1,23x1,48;Kunststofffenster, 3-fach Verglasung, Uw ca. 0,9 W/m²K, Dreh-Kipp, weiß.;Stk;520.00;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Fenster / Türen;Kunststofffenster 2,00x1,50;Zweiteiliges Kunststofffenster, 3-fach Verglasung, Uw ca. 0,9 W/m²K.;Stk;860.00;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Fenster / Türen;Aluminiumfenster 1,23x1,48;Aluminiumfenster thermisch getrennt, 3-fach Verglasung, pulverbeschichtet.;Stk;890.00;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Fenster / Türen;Aluminiumfenster 2,00x1,50;Zweiteiliges Aluminiumfenster, thermisch getrennt, 3-fach Verglasung.;Stk;1380.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Fenster / Türen;Holz-Alu-Fenster 1,23x1,48;Holz-Aluminium-Fenster, 3-fach Verglasung, hochwertige Ausführung.;Stk;1120.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Fenster / Türen;Innentür CPL 885x1985;Innentürelement CPL, Türblatt 885x1985 mm, Röhrenspankern, Zarge inklusive.;Stk;310.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Fenster / Türen;Innentür Schallschutz Rw 37 dB;Schallschutz-Innentür, Schalldämmmaß Rw ca. 37 dB, inklusive Zarge.;Stk;780.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Fenster / Türen;Brandschutztür T30-RS;Stahltür T30-RS, rauchdicht, einflügelig, inklusive Zarge.;Stk;1180.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Fenster / Türen;Aluminium-Außentür;Thermisch getrennte Aluminium-Außentür, 3-fach verglast, einflügelig.;Stk;2450.00;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Fenster / Türen;Sektionaltor 3,00x3,00;Gedämmtes Sektionaltor ca. 3,00 x 3,00 m, elektrisch betrieben.;Stk;3200.00;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Beschichtung / Farbe;Dispersionsfarbe innen weiß;Weiße Innen-Dispersionsfarbe, Nassabriebklasse 2, Deckvermögen Klasse 1.;l;4.20;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Beschichtung / Farbe;Silikatfarbe innen;Mineralische Silikatfarbe für diffusionsoffene Innenwandflächen.;l;6.80;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Beschichtung / Farbe;Fassadenfarbe Silikonharz;Silikonharz-Fassadenfarbe, wasserabweisend und diffusionsoffen.;l;8.50;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Beschichtung / Farbe;Tiefgrund;Lösemittelfreier Tiefgrund für saugende mineralische Untergründe.;l;3.20;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Beschichtung / Farbe;Betonlasur transparent;Transparente Betonlasur für Sichtbetonflächen, UV-beständig.;l;14.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Beschichtung / Farbe;Epoxidharz-Grundierung;2K-Epoxidharz-Grundierung für Beton- und Estrichflächen.;kg;9.80;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Beschichtung / Farbe;Korrosionsschutzgrundierung;Zinkphosphat-Grundierung für Stahlbauteile im Innen- und Außenbereich.;l;11.50;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Beschichtung / Farbe;Brandschutzbeschichtung R30;Dämmschichtbildende Brandschutzbeschichtung für Stahlprofile, Feuerwiderstand bis R30.;kg;18.50;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Elektro;NYM-J 3x1,5;Installationsleitung NYM-J 3x1,5 mm² für feste Verlegung in Gebäuden.;m;0.85;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Elektro;NYM-J 5x2,5;Installationsleitung NYM-J 5x2,5 mm² für Drehstrom- und Versorgungsleitungen.;m;2.10;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Elektro;NYY-J 5x16;Erdkabel NYY-J 5x16 mm² für feste Verlegung im Erdreich und Außenbereich.;m;13.50;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Elektro;CAT7 Datenkabel;Geschirmtes Datenkabel Cat.7, 4x2xAWG23, halogenarm.;m;1.25;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Elektro;Kabelrinne 100 mm;Verzinkte Kabelrinne, Breite 100 mm, gelocht, für Elektroinstallationen.;m;8.50;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Elektro;Kabelrinne 300 mm;Verzinkte Kabelrinne, Breite 300 mm, gelocht, für Haupttrassen.;m;16.50;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Elektro;Schuko-Steckdose UP;Unterputz-Schutzkontaktsteckdose 16 A, Standardprogramm, weiß.;Stk;8.90;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Elektro;LED-Panel 600x600;LED-Panel 600x600 mm, ca. 36 W, neutralweiß, für Rasterdecken.;Stk;54.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Elektro;Bewegungsmelder IP55;Aufputz-Bewegungsmelder IP55 für Außen- und Feuchträume.;Stk;42.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Elektro;Unterverteilung 36 TE;Kleinverteiler 36 Teilungseinheiten, Unterputz, mit Tür und Hutschienen.;Stk;115.00;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Sanitär / Heizung;Kupferrohr 15x1;Kupferrohr 15x1 mm, halbhart, für Trinkwasser- und Heizungsinstallationen.;m;6.20;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Sanitär / Heizung;Kupferrohr 22x1;Kupferrohr 22x1 mm, halbhart, für Heizungs- und Versorgungsleitungen.;m;9.80;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Sanitär / Heizung;Mehrschichtverbundrohr 16x2;Mehrschichtverbundrohr 16x2 mm, für Trinkwasser und Fußbodenheizung.;m;2.20;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Sanitär / Heizung;Mehrschichtverbundrohr 26x3;Mehrschichtverbundrohr 26x3 mm, für Heizungs- und Sanitärinstallationen.;m;5.60;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Sanitär / Heizung;Rohrdämmung 22 mm;Elastomere Rohrdämmung für Rohrdurchmesser 22 mm, Dämmstärke 19 mm.;m;3.80;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Sanitär / Heizung;Waschtisch Keramik 60 cm;Sanitärkeramik-Waschtisch 60 cm, weiß, mit Hahnloch und Überlauf.;Stk;145.00;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Sanitär / Heizung;WC wandhängend;Wandhängendes Tiefspül-WC aus Sanitärkeramik, weiß.;Stk;185.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Sanitär / Heizung;Vorwandelement WC;Vorwandelement für wandhängendes WC, Bauhöhe ca. 112 cm, mit Unterputzspülkasten.;Stk;240.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
Sanitär / Heizung;Plattenheizkörper Typ 22;Plattenheizkörper Typ 22, Bauhöhe 600 mm, Länge 1000 mm, weiß.;Stk;260.00;Bauhandel Süd GmbH;Mannheim;2026-01-01;2026-12-31
Sanitär / Heizung;Fußbodenheizungsrohr 16x2;PE-X/PE-RT Heizungsrohr 16x2 mm mit Sauerstoffsperre für Fußbodenheizung.;m;1.10;Hessen Baustofflogistik GmbH;Wiesbaden;2026-01-01;2026-12-31
Fassade / Putz;Kalkzementputz innen 15 mm;Kalkzement-Unterputz, mittlere Dicke 15 mm, für mineralische Innenwände.;m²;12.50;Main Baustoffe KG;Offenbach am Main;2026-01-01;2026-12-31
Fassade / Putz;Gipsputz innen 10 mm;Gips-Maschinenputz, Dicke ca. 10 mm, für trockene Innenräume.;m²;10.80;Neckar Bauprodukte GmbH;Heidelberg;2026-01-01;2026-12-31
Fassade / Putz;Armierungsmörtel WDVS;Mineralischer Armierungs- und Klebemörtel für Wärmedämmverbundsysteme.;kg;0.72;Taunus Baustoffhandel GmbH;Bad Homburg;2026-01-01;2026-12-31
Fassade / Putz;Glasfasergewebe WDVS;Alkalibeständiges Armierungsgewebe für WDVS, Flächengewicht ca. 160 g/m².;m²;1.85;Bergstraße Baustoffe GmbH;Bensheim;2026-01-01;2026-12-31
Fassade / Putz;Silikonharzputz 2 mm;Silikonharz-Oberputz, Körnung 2,0 mm, für Fassaden und WDVS.;kg;2.60;Rhein Stahl & Bau GmbH;Mainz;2026-01-01;2026-12-31
Fassade / Putz;Mineralputz 3 mm;Mineralischer Scheibenputz, Körnung 3,0 mm, diffusionsoffen.;kg;1.45;ProBau Technik GmbH;Hanau;2026-01-01;2026-12-31
Fassade / Putz;Fassadenplatte HPL 8 mm;HPL-Fassadenplatte 8 mm, UV-beständig, für hinterlüftete Fassaden.;m²;58.00;Muster Baustoffe GmbH;Frankfurt am Main;2026-01-01;2026-12-31
Fassade / Putz;Faserzementplatte 8 mm;Faserzement-Fassadenplatte 8 mm, nicht brennbar, für hinterlüftete Fassaden.;m²;46.00;Rhein-Main Beton GmbH;Darmstadt;2026-01-01;2026-12-31
